no,smiles,tm
85,O=[N+](C(C1=NC2=CC=CC=C2O1)[C@@H](O3)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]3OC)[O-],69
86,O=[N+](C1=C2C=CC=CC2=C(N=NC3=CC=C(OCCCCCC)C=C3)C=C1)[O-],69
87,CCC([N+]([O-])=O)=CC1=CC(OC)=C(C)C=C1OC,69
88,O=C(C1=C(C(OC)=O)C(NC)(C)C1[N+]([O-])=O)OC,69
89,[O-][N+](C1=C(C)C=C(C)C=C1C)=C(N=O)C2=CC=CC=C2,69
90,CC1=CCC(/C=C/CC/C(C)=N\NC2=CC=C([N+]([O-])=O)C=C2[N+]([O-])=O)CC1,69
91,O=[N+](C1=CC(C2=CN(C(C)C)C(C3=CC=CC=C3)=N2)=CC=C1)[O-],69
92,O=C(N(OC)C1=CC=CC=C1)C2=CC=C([N+]([O-])=O)C=C2,69
93,O=C(OC)C1=CC([N+]([O-])=O)=C(N(C)[N+]([O-])=O)C([N+]([O-])=O)=C1OC,69
94,O=[N+](C1=CC=CC=C1C(C2=C3C4=CC=CC3=CC=C2)C4=O)[O-],69
95,O=C(C12C[C@]3([N+]([O-])=O)C[C@@](C2)([N+]([O-])=O)CC(C3)C1)OC,69
96,O=C1OCCC12C(C3=CC=C([N+]([O-])=O)C=C3)N=C(C4=CC=CC=C4)C2,69
97,O=[N+](C1=CC=CC2=C3C=CC(C)=NC3=CN=C21)[O-],69
98,O=[N+](C1=NON=C1OC2C(OC3=NON=C3[N+]([O-])=O)CCC2)[O-],69
99,O=C(NC1=NN(C)N=C1C2=CC=C([N+]([O-])=O)C=C2)C3=CC=CC=C3,69
100,O=[N+](C1=CC=C(C2=NN(C)N=C2)C=C1)[O-],69
101,CCCCCOC1=CC=C(OC)C([N+]([O-])=O)=C1[N+]([O-])=O,69
102,O=C(OC(C)(C)C)C([N+]([O-])=O)(C1=NC(C(C(OC(C)(C)C)=O)(C(OC(C)(C)C)=O)[N+]([O-])=O)=NC(NCC)=N1)C(OC(C)(C)C)=O,69
103,CC(O[C@H]1C(C2=CC(OC)=C(OC)C=C2[N+]([O-])=O)C=C(OC)C3=C1C4C(C(C)C5=C4C=C(OC)C(OC)=C5)=C3OC)=O,69
104,O=C1N(C2=CC=CC=C2[N+]([O-])=O)NN=C1C3=CC=C(OC)C(OC)=C3,69
105,O=C1C[C@@](CC2=C3C=C([N+]([O-])=O)C=C2)([H])[C@@]3([H])O1,69
106,CC(C1=CC=CC=C1OCC2C(C3=CC=C([N+]([O-])=O)C=C3)N(C4=CC=CC=C4)OC2C)=O,69
107,O=[N+](C1=CC=C([C@H]2C(C3=CC=CC=C3)(C4=CC=CC=C4)O2)C=C1)[O-],69
108,O=C(N(C1C2=CC=C([N+]([O-])=O)C=C2)OCC3=C1N(C(OC(C)(C)C)=O)C4=C3C=CC=C4)OC,69
109,N#C/C(C1=CC=C([N+]([O-])=O)C=C1)=N\OC(C)C,69
110,O=[N+](C1=CC=CC=C1C2=CC=NN2C3=CC=CC(OC)=C3)[O-],69
111,O=NC1=CC=C2OCCOC2=C1,69
112,O=[N+](C1=CC=C(NC2=CC=C(OCCC)C=C2)C=C1)[O-],69
113,CCC([N+]([O-])=O)=CC1=CC=C(C2=CC=CC=C2)C=C1,69
114,O=[N+](/C=C/C1=CC(OCC)=CC=C1)[O-],69
115,O=C1CC(C[N+]([O-])=O)C2=C1C=C(OC)C(OC)=C2OC,69
116,CC(C)(C)C(OC1=C2C=CC=CC2=C([N+]([O-])=O)C=C1)=O,69
117,O=[N+](C1=CC(C2=CC=CC=C2)=CC=C1C3=NC4=CC=CC=C4O3)[O-],69
118,O=C(C1=CC=CC=C1)C([N+]([O-])=O)=C2CCCC2,69
119,O=[N+](C1=C2C=CC=CC2=NN1C3=CC(C)=CC=C3C)[O-],69
120,O=C(NC1=CC=CC=C1[N+]([O-])=O)C2=CC=C(N3C=CC=C3)C=C2,69
121,O=[N+](C1=CC=C(N2C(C3=CC=CC=C3)=NC4=C(C=CC=C4)C2)C=C1)[O-],69
122,O=C1C(C2=CC=C([N+]([O-])=O)C=C2)=C(C3=CC=C(OC)C(OC)=C3)N4C=CC=CC14C,69
123,O=C(NC1CCCCC1)C(N(C2CCCCC2)C(C3=C(O4)C=CC=C3)=C([N+]([O-])=O)C4=O)C5=CC=C(C)C=C5,69
124,O=C(C1=C(/C(C(OC)=O)=C\C2=CC=C([N+]([O-])=O)C=C2)NC3=C1C=CC=C3)OC(C)(C)C,69
125,O=C(C1=C(C)OC(CC2=CC=CC=C2)=C1C[N+]([O-])=O)OC,69
126,O=[N+](C1=CC=CC=C1C2=CCC(C3=CC=C(OC)C=C3)OC2)[O-],69
127,O=C(OC)C(C)(C)CCCOC1=C(C)C=C([N+]([O-])=O)C(C)=C1[N+]([O-])=O,69
128,C=C(C1=CC=C(OC)C(OC)=C1)C2=CC=CC=C2[N+]([O-])=O,69
